Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
0.0013,0.0000,-5.1109,2.0011,-6.8200,0.0231,0
0.0759,0.0000,-4.8553,1.2462,-6.6648,0.0227,0
0.1309,-15.8125,-5.4032,-4.1532,-6.8704,0.0225,0
0.1856,0.0000,-5.1330,-3.0004,-6.7177,0.0222,0
0.2377,0.0000,-4.8764,-2.2548,-6.5699,0.0220,0
0.2912,0.0000,-4.6325,-1.6529,-6.4267,0.0218,0
0.3433,-23.2375,-5.5628,-9.2268,-6.7902,0.0216,0
0.3693,0.0000,-5.2847,-7.7001,-6.6444,0.0215,0
0.4213,0.0000,-5.0204,-5.6701,-6.5028,0.0213,0
0.4744,-72.3250,-8.3857,-39.6868,-7.8971,0.0212,0
0.5359,0.0000,-7.9664,-26.5772,-7.7308,0.0211,0
0.5924,0.0000,-7.5681,-16.7216,-7.5687,0.0210,0
0.6450,0.0000,-7.1896,-9.9741,-7.4108,0.0209,0
0.6986,8.6625,-6.3970,-1.6526,-7.0769,0.0208,0
0.7221,0.0000,-6.0772,-1.2360,-6.9304,0.0207,0
0.7791,0.0000,-5.7733,-0.7224,-6.7875,0.0206,0
0.8329,0.0000,-5.4847,-0.4532,-6.6479,0.0206,0
0.8851,-4.1250,-5.4167,-1.6375,-6.5961,0.0205,0
0.9064,0.0000,-5.1458,-1.3705,-6.4612,0.0205,0
0.9608,0.0000,-4.8886,-0.9293,-6.3293,0.0204,0
1.0129,19.3875,-3.6748,7.0248,-5.8054,0.0204,0
1.0668,-4.1250,-3.6973,3.5174,-5.7712,0.0203,0
1.0839,0.0000,-3.5124,3.1230,-5.6541,0.0203,0
1.1399,0.0000,-3.3368,2.2904,-5.5395,0.0203,0
1.1922,2536.5999,123.6601,2448.8564,193.3663,0.0782,1
1.2539,0.0000,117.4771,305.0056,179.3629,0.0724,0
1.3248,0.0000,111.6032,28.0930,167.3138,0.0672,0
1.3771,0.0000,106.0230,4.0963,156.8635,0.0625,0
1.4295,0.0000,100.7219,0.7386,147.7319,0.0582,0
1.4999,0.0000,95.6858,0.1374,139.6964,0.0544,0
1.5543,-89.2375,86.4396,-69.8562,128.0316,0.0510,0
1.6106,0.0000,82.1176,-22.9094,121.9043,0.0479,0
1.6768,0.0000,78.0118,-9.0698,116.4098,0.0451,0
1.7296,194.0125,83.8118,123.7829,124.2139,0.1006,1
1.7772,0.0000,79.6212,84.1923,112.7231,0.0925,0
1.8424,0.0000,75.6402,31.7445,103.1126,0.0853,0
1.8950,0.0000,71.8581,13.0634,94.9944,0.0787,0
1.9482,-165.0000,60.0152,-121.8887,60.9719,0.1309,1
1.9749,0.0000,57.0145,-76.2043,53.6691,0.1198,0
2.0412,0.0000,54.1638,-46.2883,47.7765,0.1098,0
2.0939,0.0000,51.4556,-23.4456,42.9599,0.1008,0
2.1469,0.0000,48.8828,-11.2967,38.9760,0.0927,0
2.2169,0.0000,46.4386,-4.9713,35.6451,0.0855,0
2.2693,0.0000,44.1167,-2.6812,32.8322,0.0789,0
2.3220,-41.3875,39.8415,-12.9086,27.4124,0.0730,0
2.3523,0.0000,37.8494,-10.1867,25.5560,0.0677,0
2.4046,0.0000,35.9570,-6.6133,23.9473,0.0629,0
2.4573,0.0000,34.1591,-4.2327,22.5427,0.0587,0
2.5106,0.0000,32.4512,-2.7162,21.3076,0.0548,0
2.5790,0.0000,30.8286,-1.6313,20.2143,0.0513,0
2.6328,0.0000,29.2872,-1.0911,19.2404,0.0482,0
2.6860,-103.1250,22.6666,-59.5490,13.6898,0.0454,0
2.7108,0.0000,21.5332,-49.2319,13.1036,0.0428,0
2.7641,0.0000,20.4566,-27.4698,12.5723,0.0405,0
2.8161,-60.5000,16.4087,-36.0009,9.7599,0.0385,0
2.8738,0.0000,15.5883,-20.3758,9.4023,0.0366,0
2.9446,0.0000,14.8089,-9.8779,9.0735,0.0350,0
2.9971,0.0000,14.0684,-5.5391,8.7697,0.0335,0
3.0492,0.0000,13.3650,-3.2108,8.4879,0.0321,0
3.1018,0.0000,12.6968,-1.9242,8.2255,0.0309,0
3.1555,-34.9250,10.3157,-12.1017,6.9385,0.0298,0
3.1909,-57.3375,6.9330,-29.7986,5.0846,0.0288,0
3.2161,20.3500,7.6039,-21.3929,5.5114,0.0280,0
3.2409,135.4375,13.9956,61.5734,9.0406,0.0272,0
3.2660,120.5875,19.3252,95.5096,11.9906,0.0264,0
3.2902,31.0750,19.9126,67.2459,12.4830,0.0258,0
3.3194,-71.2250,15.3558,21.9117,10.3717,0.0252,0
3.3410,0.0000,14.5880,15.1471,10.1156,0.0247,0
3.4074,0.0000,13.8586,6.6107,9.8705,0.0242,0
3.4600,-69.0250,9.7144,-40.7741,7.9922,0.0238,0
3.5012,0.0000,9.2287,-23.5952,7.8050,0.0234,0
3.5679,0.0000,8.7672,-14.3271,7.6249,0.0231,0
3.6199,32.1750,9.9376,4.7635,8.1840,0.0228,0
3.6859,0.0000,9.4407,2.8271,7.9999,0.0225,0
3.7563,0.0000,8.9687,1.7631,7.8219,0.0222,0
3.8083,-45.6500,6.2378,-18.5675,6.6443,0.0220,0
3.8527,-44.5500,3.6984,-30.2056,5.5272,0.0218,0
3.8750,0.0000,3.5135,-24.9345,5.4076,0.0216,0
3.9274,0.0000,3.3378,-16.9047,5.2915,0.0215,0
3.9796,-1198.3125,-56.7447,-1114.2499,-90.1871,0.0793,1
4.0432,0.0000,-53.9075,-258.2158,-83.5679,0.0734,0
4.1119,0.0000,-51.2121,-36.5856,-77.8807,0.0681,0
4.1652,0.0000,-48.6515,-7.3082,-72.9548,0.0632,0
4.2173,0.0000,-46.2189,-1.7761,-68.6559,0.0589,0
4.2854,0.0000,-43.9080,-0.4443,-64.8776,0.0550,0
4.3393,48.1250,-39.3063,33.8345,-59.0547,0.0515,0
4.3940,84.2875,-33.1266,69.7380,-52.1204,0.0484,0
4.4193,0.0000,-31.4703,43.9359,-49.7469,0.0455,0
4.4719,0.0000,-29.8968,28.9415,-47.6086,0.0430,0
4.5253,172.7000,-19.7670,125.8193,-25.8672,0.0987,1
4.5853,0.0000,-18.7786,85.0503,-23.5180,0.0908,0
4.6524,0.0000,-17.8397,32.5600,-21.5487,0.0837,0
4.7059,-23.2375,-18.1096,-2.2981,-21.6793,0.0774,0
4.7650,0.0000,-17.2041,-0.9529,-20.1265,0.0716,0
4.8326,0.0000,-16.3439,-0.4237,-18.7889,0.0665,0
4.8860,0.0000,-15.5267,-0.2329,-17.6274,0.0618,0
4.9384,0.0000,-14.7504,-0.1384,-16.6114,0.0576,0
5.0054,0.0000,-14.0128,-0.0796,-15.7165,0.0539,0
5.0575,-16.9125,-14.1578,-6.9807,-15.7769,0.0505,0
5.1190,0.0000,-13.4499,-4.3251,-15.0285,0.0474,0
5.1882,0.0000,-12.7774,-2.7793,-14.3569,0.0447,0
5.2410,0.0000,-12.1386,-2.0281,-13.7507,0.0422,0
5.2930,0.0000,-11.5316,-1.5206,-13.2006,0.0400,0
5.3619,0.0000,-10.9551,-1.0508,-12.6990,0.0380,0
5.4146,0.0000,-10.4073,-0.7783,-12.2393,0.0362,0
5.4663,0.0000,-9.8869,-0.5773,-11.8160,0.0346,0
5.5191,-27.5000,-10.7676,-10.7698,-12.3355,0.0331,0
5.5584,-41.3875,-12.2986,-23.1464,-13.2597,0.0318,0
5.5820,-34.9250,-13.4299,-26.7564,-13.9233,0.0306,0
5.6053,-3.0250,-12.9097,-21.7759,-13.6011,0.0296,0
5.6259,20.3500,-11.2467,-13.4148,-12.6297,0.0286,0
5.6485,0.0000,-10.6843,-10.0798,-12.2793,0.0277,0
5.7010,0.0000,-10.1501,-5.7030,-11.9480,0.0270,0
5.7545,-46.7500,-11.9801,-18.5559,-12.8625,0.0263,0
5.7730,-39.1875,-13.3405,-22.6569,-13.5377,0.0256,0
5.7948,-11.5500,-13.2510,-20.6886,-13.4879,0.0251,0
5.8178,4.4000,-12.3684,-16.3063,-13.0483,0.0246,0
5.8462,32.1750,-10.1412,1.3579,-11.9576,0.0241,0
5.8670,15.1250,-8.8779,5.6641,-11.3155,0.0237,0
5.9133,10.8625,-7.8909,8.1309,-10.7980,0.0233,0
5.9375,-0.8250,-7.5376,5.6768,-10.5686,0.0230,0
5.9600,-38.2250,-9.0720,-1.5439,-11.1964,0.0227,0
5.9988,-1.9250,-8.7146,-1.6371,-10.9885,0.0224,0
6.0178,44.9625,-6.0308,9.1808,-9.7470,0.0222,0
6.0382,24.6125,-4.4986,13.4322,-8.9921,0.0220,0
6.0718,-20.0750,-5.2774,5.7552,-9.2334,0.0218,0
6.0928,0.0000,-5.0136,5.0051,-9.0340,0.0216,0
6.1463,0.0000,-4.7629,3.6875,-8.8404,0.0214,0
6.1984,-38.2250,-6.4360,-14.9042,-9.4661,0.0213,0
6.2373,-13.6125,-6.7948,-14.4648,-9.5538,0.0212,0
6.2599,11.8250,-5.8638,-11.0698,-9.1039,0.0210,0
6.2833,34.2375,-3.8588,2.0308,-8.1962,0.0209,0
6.3059,0.0000,-3.6658,1.5021,-8.0253,0.0208,0
6.3716,0.0000,-3.4825,0.8232,-7.8587,0.0208,0
6.4249,58.7125,-0.3728,32.6776,-6.4816,0.0207,0
6.4523,8.6625,0.0790,25.7453,-6.1693,0.0206,0
6.4781,-49.9125,-2.4206,2.7383,-7.0685,0.0206,0
6.5061,-47.7125,-4.6852,-19.0490,-7.9017,0.0205,0
6.5307,0.0000,-4.4509,-12.8068,-7.7401,0.0205,0
6.5831,0.0000,-4.2284,-7.4352,-7.5822,0.0204,0
6.6358,4.4000,-3.7970,-3.4934,-7.3382,0.0204,0
6.6538,0.0000,-3.6071,-3.0397,-7.1890,0.0203,0
