Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
0.0000,0.0000,0.7965,0.1323,-0.4630,0.0201,0
0.0545,-76.0375,-3.0452,-40.8460,-1.9833,0.0201,0
0.1065,0.0000,-2.8929,-27.6927,-1.9435,0.0201,0
0.1727,0.0000,-2.7483,-16.8843,-1.9044,0.0201,0
0.2254,20.9000,-1.5658,0.7945,-1.4464,0.0201,0
0.2897,0.0000,-1.4876,0.4251,-1.4173,0.0201,0
0.3464,0.0000,-1.4132,0.2569,-1.3889,0.0201,0
0.3993,2.8875,-1.1981,1.2117,-1.3031,0.0201,0
0.4689,0.0000,-1.1382,0.7398,-1.2770,0.0201,0
0.5386,0.0000,-1.0813,0.4717,-1.2514,0.0201,0
0.5924,22.0000,0.0727,8.9714,-0.7853,0.0200,0
0.6528,0.0000,0.0691,5.8761,-0.7695,0.0200,0
0.7056,0.0000,0.0656,4.3088,-0.7541,0.0200,0
0.7593,-9.9000,-0.4326,-0.2380,-0.9373,0.0200,0
0.8164,-8.9375,-0.8579,-3.3764,-1.0976,0.0200,0
0.8389,0.0000,-0.8150,-2.8286,-1.0756,0.0200,0
0.8915,0.0000,-0.7742,-2.0321,-1.0541,0.0200,0
0.9449,-9.9000,-1.2305,-4.5430,-1.2312,0.0200,0
1.0021,0.0000,-1.1690,-3.2177,-1.2065,0.0200,0
1.0667,0.0000,-1.1105,-2.2865,-1.1824,0.0200,0
1.1197,0.0000,-1.0550,-1.6851,-1.1587,0.0200,0
1.1717,-20.6250,-2.0335,-8.1146,-1.5483,0.0200,0
1.1941,0.0000,-1.9318,-6.9502,-1.5173,0.0200,0
1.2473,0.0000,-1.8353,-5.0988,-1.4870,0.0200,0
1.3005,3.8500,-1.5510,-2.3005,-1.3802,0.0200,0
1.3688,0.0000,-1.4734,-1.4672,-1.3526,0.0200,0
1.4371,0.0000,-1.3998,-0.9493,-1.3255,0.0200,0
1.4892,-2.4750,-1.4535,-1.3677,-1.3485,0.0200,0
1.5546,0.0000,-1.3809,-0.9285,-1.3215,0.0200,0
1.6075,0.0000,-1.3118,-0.6728,-1.2951,0.0200,0
1.6608,0.0000,-1.2462,-0.4879,-1.2692,0.0200,0
1.7141,33.6875,0.5005,14.0926,-0.5699,0.0200,0
1.7361,0.0000,0.4754,11.6286,-0.5585,0.0200,0
1.7884,0.0000,0.4517,8.7242,-0.5473,0.0200,0
1.8422,-16.3625,-0.3890,-0.8119,-0.8636,0.0200,0
1.9065,0.0000,-0.3696,-0.4988,-0.8464,0.0200,0
1.9741,0.0000,-0.3511,-0.3149,-0.8294,0.0200,0
2.0264,14.5750,0.3952,3.9231,-0.5213,0.0200,0
2.0869,0.0000,0.3754,2.8207,-0.5109,0.0200,0
2.1533,0.0000,0.3567,1.9516,-0.5007,0.0200,0
2.2063,0.0000,0.3388,1.4226,-0.4907,0.0200,0
2.2586,0.0000,0.3219,1.0370,-0.4808,0.0200,0
2.3108,0.0000,0.3058,0.7556,-0.4712,0.0200,0
2.3634,-66.4125,-3.0301,-34.4069,-1.7901,0.0200,0
2.4034,-257.1250,-15.7349,-196.6920,-21.7066,0.0780,1
2.4354,-363.6875,-33.1325,-322.4172,-66.2329,0.1302,1
2.4593,0.0000,-31.4759,-280.2493,-58.3392,0.1192,0
2.5114,0.0000,-29.9021,-64.1204,-51.9649,0.1093,0
2.5806,0.0000,-28.4070,-12.5724,-46.7509,0.1003,0
2.6330,0.0000,-26.9866,-3.5373,-42.4356,0.0923,0
2.6861,93.3625,-20.9692,69.6879,-30.8829,0.0851,0
2.7095,18.8375,-18.9788,45.3235,-26.9766,0.0786,0
2.7275,20.9000,-16.9849,36.7710,-23.4956,0.0727,0
2.7505,1.7875,-16.0463,26.3492,-21.7905,0.0674,0
2.7695,0.0000,-15.2440,21.9070,-20.4244,0.0627,0
2.8372,0.0000,-14.4818,14.5582,-19.2311,0.0584,0
2.8905,0.0000,-13.7577,9.4356,-18.1814,0.0546,0
2.9427,-7.8375,-13.4617,2.5155,-17.6526,0.0511,0
2.9896,0.0000,-12.7886,1.6158,-16.8051,0.0480,0
3.0423,0.0000,-12.1492,1.0298,-16.0453,0.0452,0
3.0952,0.0000,-11.5417,0.6757,-15.3603,0.0427,0
3.1474,26.2625,-9.6515,8.7808,-13.6779,0.0404,0
3.1732,60.3625,-6.1508,26.7898,-10.8364,0.0384,0
3.2154,19.8000,-4.8532,23.9495,-9.7169,0.0365,0
3.2415,6.0500,-4.3081,20.0726,-9.1668,0.0349,0
3.2643,2.8875,-3.9483,17.8051,-8.7643,0.0334,0
3.2879,36.8500,-1.9084,21.5941,-7.3020,0.0321,0
3.3323,0.0000,-1.8130,16.1259,-7.0767,0.0309,0
3.3985,0.0000,-1.7223,9.5516,-6.8660,0.0298,0
3.4512,0.0000,-1.6362,5.9805,-6.6683,0.0288,0
3.5033,16.6375,-0.7225,9.0849,-6.0178,0.0279,0
3.5244,0.0000,-0.6864,7.5149,-5.8546,0.0271,0
3.5923,0.0000,-0.6521,4.4255,-5.7000,0.0264,0
3.6449,1.7875,-0.5301,3.5258,-5.5071,0.0258,0
3.7082,0.0000,-0.5036,2.1995,-5.3684,0.0252,0
3.7773,0.0000,-0.4784,1.3579,-5.2359,0.0247,0
3.8305,-20.6250,-1.4857,-7.5593,-5.6084,0.0242,0
3.8875,0.0000,-1.4115,-4.8897,-5.4750,0.0238,0
3.9544,0.0000,-1.3409,-3.2332,-5.3469,0.0234,0
4.0073,28.3250,0.1424,8.8977,-4.5702,0.0231,0
4.0651,0.0000,0.1353,5.9617,-4.4662,0.0228,0
4.1355,0.0000,0.1285,4.0503,-4.3658,0.0225,0
4.1894,-3.5750,-0.0566,1.8464,-4.3482,0.0222,0
4.2407,0.0000,-0.0538,1.3274,-4.2525,0.0220,0
4.3069,0.0000,-0.0511,0.8874,-4.1598,0.0218,0
4.3602,-1.3750,-0.1173,0.2311,-4.0995,0.0216,0
4.4223,0.0000,-0.1115,0.1589,-4.0115,0.0215,0
4.4908,0.0000,-0.1059,0.1072,-3.9260,0.0213,0
4.5432,-76.0375,-3.9025,-41.2473,-5.4539,0.0212,0
4.6066,0.0000,-3.7073,-25.3854,-5.3390,0.0211,0
4.6741,0.0000,-3.5220,-15.9892,-5.2270,0.0210,0
4.7274,0.0000,-3.3459,-9.9498,-5.1180,0.0209,0
4.7803,0.0000,-3.1786,-6.0475,-5.0116,0.0208,0
4.8605,51.8375,-0.4278,30.1704,-3.8348,0.0207,0
4.9222,69.9875,3.0930,54.2160,-2.3118,0.0206,0
4.9484,49.6375,5.4202,52.5879,-1.2433,0.0206,0
4.9724,172.1500,13.7567,116.4304,12.3700,0.0785,1
5.0005,0.0000,13.0689,83.2121,11.4712,0.0727,0
5.0525,0.0000,12.4154,43.4072,10.6981,0.0674,0
5.1064,109.3125,17.2603,68.5001,16.8768,0.0627,0
5.1505,15.6750,17.1810,48.6081,16.8066,0.0584,0
5.1742,-47.3000,13.9570,4.5634,13.3096,0.0546,0
5.1973,8.1125,13.6647,6.0524,13.0440,0.0511,0
5.2222,0.0000,12.9815,3.5045,12.4181,0.0480,0
5.2747,0.0000,12.3324,1.5393,11.8570,0.0452,0
5.3273,-81.2625,7.6527,-53.1668,7.8837,0.0427,0
5.3584,-109.0375,1.8182,-85.7262,3.1599,0.0404,0
5.3803,-62.1500,-1.3802,-75.5746,0.6545,0.0384,0
5.4066,48.6750,1.1225,-46.6756,2.4085,0.0365,0
5.4335,0.0000,1.0664,-29.4375,2.3245,0.0349,0
5.5001,24.0625,2.2162,5.2345,3.0502,0.0334,0
5.5469,-26.9500,0.7579,-8.5099,2.0888,0.0320,0
5.5725,22.0000,1.8200,2.4291,2.7029,0.0308,0
5.5976,43.3125,3.8946,19.8080,3.9114,0.0298,0
5.6155,56.1000,6.5049,34.0770,5.4135,0.0288,0
5.6402,28.3250,7.5959,31.5923,6.0528,0.0279,0
5.6592,9.2125,7.6767,24.8550,6.1385,0.0271,0
5.6764,4.9500,7.5404,20.5595,6.1071,0.0264,0
5.6999,56.1000,9.9684,33.1833,7.3950,0.0258,0
5.7196,0.0000,9.4700,26.3066,7.2088,0.0252,0
5.7725,0.0000,8.9965,19.6064,7.0309,0.0247,0
5.8264,0.0000,8.5466,12.5410,6.8608,0.0242,0
5.8786,0.0000,8.1193,7.6988,6.6976,0.0238,0
5.9313,-11.0000,7.1633,-0.3972,6.2835,0.0234,0
5.9672,39.0500,8.7577,8.8121,7.0391,0.0231,0
5.9949,37.9500,10.2173,17.3674,7.7425,0.0228,0
6.0222,-21.7250,8.6202,10.3323,7.0801,0.0225,0
6.0428,0.0000,8.1892,8.5134,6.9227,0.0222,0
6.0955,-0.4125,7.7591,5.1977,6.7613,0.0220,0
6.1704,4.9500,7.6186,5.0936,6.7218,0.0218,0
6.1948,14.5750,7.9664,6.4728,6.8916,0.0216,0
6.2164,13.4750,8.2419,7.4337,7.0329,0.0215,0
6.2405,-16.3625,7.0117,2.4300,6.5342,0.0213,0
6.2655,4.9500,6.9086,2.9255,6.5006,0.0212,0
6.3126,10.3125,7.0788,4.8347,6.5809,0.0211,0
6.3758,-3.5750,6.5461,1.8398,6.3680,0.0210,0
6.4006,-13.2000,5.5588,-1.6192,5.9597,0.0209,0
6.4241,-23.7875,4.0915,-7.8388,5.3417,0.0208,0
6.4514,-29.1500,2.4294,-15.4023,4.6277,0.0207,0
6.4715,17.7375,3.1948,-9.6643,4.8981,0.0206,0
6.4944,4.9500,3.2826,-7.7961,4.8992,0.0206,0
6.5173,-20.6250,2.0872,-10.0828,4.3757,0.0205,0
6.5383,-3.5750,1.8041,-9.1963,4.2130,0.0205,0
6.5592,0.0000,1.7139,-7.9566,4.1270,0.0204,0
6.6121,0.0000,1.6282,-5.4309,4.0429,0.0204,0
6.6648,-21.7250,0.4605,-10.1653,3.5189,0.0203,0
6.6953,-49.3625,-2.0306,-23.3529,2.4454,0.0203,0
6.7194,-34.5125,-3.6547,-26.7227,1.6962,0.0203,0
6.7413,-8.9375,-3.9189,-22.9626,1.4809,0.0202,0
6.7673,0.0000,-3.7229,-19.5817,1.4510,0.0202,0
6.8356,0.0000,-3.5368,-11.4877,1.4216,0.0202,0
6.8877,1141.5250,53.7163,1059.1333,90.5527,0.0782,1
6.9315,1031.8000,102.6205,1034.7194,213.2540,0.1304,1
6.9527,1176.7250,156.3257,1150.0853,384.1007,0.1773,1
6.9774,419.3750,169.4782,1004.9595,391.8467,0.2196,1
7.0012,0.0000,161.0043,143.9309,313.6213,0.1996,0
7.0541,-149.4625,145.4809,-128.9055,229.4931,0.1817,0
7.0907,-162.2500,130.0944,-158.4521,141.9376,0.2235,1
7.1212,47.5750,125.9684,6.5623,122.7676,0.2032,0
7.1460,46.4750,121.9937,35.4177,108.6659,0.1848,0
7.1691,0.0000,115.8941,10.6243,90.3717,0.1684,0
7.2369,0.0000,110.0994,1.7471,76.4980,0.1535,0
7.2895,0.0000,104.5944,0.4298,65.7756,0.1402,0
7.3421,0.0000,99.3647,0.1269,57.3465,0.1281,0
7.3949,-106.8375,89.0546,-80.4654,38.0820,0.1173,0
7.4345,-31.2125,83.0412,-51.2862,30.6258,0.1076,0
7.4571,-73.8375,75.1973,-61.7602,20.3006,0.0988,0
7.4841,1.7875,71.5268,-40.4084,18.6167,0.0910,0
7.5072,0.0000,67.9504,-34.5347,17.0555,0.0839,0
7.5593,0.0000,64.5529,-20.8178,15.7341,0.0775,0
7.6115,39.0500,63.2778,12.1953,17.4065,0.0717,0
7.6543,14.5750,60.8426,13.3042,17.2180,0.0666,0
7.6794,3.8500,57.9930,10.5658,16.3906,0.0619,0
7.7028,-52.5250,52.4671,-3.9834,12.4135,0.0577,0
7.7296,-15.2625,49.0806,-7.1479,10.9207,0.0539,0
7.7622,3.8500,46.8191,-4.3198,10.5633,0.0505,0
7.7854,1.7875,44.5675,-3.3047,10.1465,0.0475,0
7.8103,-53.6250,39.6579,-20.2240,7.2933,0.0447,0
7.8424,0.0000,37.6750,-14.1773,6.9851,0.0423,0
7.8989,0.0000,35.7912,-9.5502,6.7054,0.0400,0
7.9643,0.0000,34.0017,-6.6926,6.4503,0.0380,0
8.0175,0.0000,32.3016,-4.7185,6.2166,0.0362,0
8.0714,7.1500,31.0440,-0.5873,6.2489,0.0346,0
8.0998,-21.7250,28.4056,-4.5584,5.3216,0.0331,0
8.1224,-30.2500,25.4728,-10.7806,4.1893,0.0318,0
8.1475,-14.1625,23.4910,-11.6559,3.6268,0.0307,0
8.1716,0.0000,22.3165,-9.3784,3.5195,0.0296,0
8.2393,41.1125,23.2563,14.6373,4.5956,0.0286,0
8.2979,-1.3750,22.0247,9.4162,4.4299,0.0278,0
8.3191,11.4125,21.4941,9.7212,4.6183,0.0270,0
8.3453,-15.2625,19.6563,4.4089,4.0957,0.0263,0
8.3676,-54.7250,15.9372,-16.2962,2.5863,0.0257,0
8.3942,-49.3625,12.6722,-30.8042,1.2827,0.0251,0
8.4196,-6.7375,11.7017,-22.5635,1.0856,0.0246,0
8.4431,39.0500,13.0691,-12.0597,2.0015,0.0241,0
8.4683,27.3625,13.7838,0.1622,2.6029,0.0237,0
8.4942,3.8500,13.2871,1.2909,2.6320,0.0233,0
8.5122,-13.2000,11.9628,-1.3521,2.2677,0.0230,0
